ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
web caching for database applications with oracle web cache,form-based proxy caching for database-backed web sites very large data bases,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","qiong luo , jeffrey f. naughton",sigmod conference,,2002,2001
"enabling dynamic content caching for database-driven web sites qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan 2001",form-based proxy caching for database-backed web sites very large data bases,,"qiong luo , jeffrey f. naughton",sigmod conference,,,2001
homer : a model-based case tool for data-intensive web sites sigmod conference 2000,form-based proxy caching for database-backed web sites very large data bases,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca","qiong luo , jeffrey f. naughton",,,,2001
"a predicate-based caching scheme for client-server database architectures julie basu , arthur m. keller",form-based proxy caching for database-backed web sites very large data bases,,"qiong luo , jeffrey f. naughton",vldb j.,,1996,2001
form-based proxy caching for database-backed web sites,form-based proxy caching for database-backed web sites very large data bases,"jeffrey f. naughton , qiong luo","qiong luo , jeffrey f. naughton",vldb,,2001,2001
"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",form-based proxy caching for database-backed web sites very large data bases,,"qiong luo , jeffrey f. naughton",,,,2001
web caching for database applications with oracle web cache,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,international conference on management of data,2002,2002
form-based proxy caching for database-backed web sites,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton","jeffrey f. naughton , qiong luo",,vldb,international conference on management of data,2001,2002
dbcache : database caching for web application servers 2002,"middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton","sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay",,sigmod conference,international conference on management of data,,2002
"middle-tier database caching for e-business hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay","middle-tier database caching for e-business qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",,,sigmod conference,international conference on management of data,2002,2002
web caching for database applications with oracle web cache,"building scalable internet applications with oracle8i server julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky 2000","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,very large data bases,2002,
building notification services with microsoft sqlserver praveen seshadri 2003,"building scalable internet applications with oracle8i server julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky 2000",,,sigmod conference,very large data bases,,
"building scalable internet applications with oracle8i server olga peschansky , josé alberto fernández , julie basu","building scalable internet applications with oracle8i server julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky 2000",,,vldb,very large data bases,2000,
web caching for database applications with oracle web cache,caching technologies for web applications c. mohan very large data bases 2001,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,,2002,
"oracle 's symmetric replication technology and implications for application design benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain",caching technologies for web applications c. mohan very large data bases 2001,,,sigmod conference,,1994,
"caching strategies for data-intensive web sites khaled yagoub , patrick valduriez , valérie issarny , daniela florescu vldb 2000",caching technologies for web applications c. mohan very large data bases 2001,,,,,,
web caching for database applications with oracle web cache,"a transaction replication scheme for a replicated database with node autonomy ada wai-chee fu , david wai-lok cheung 1994","jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,very large data bases,2002,
"a transaction replication scheme for a replicated database with node autonomy david wai-lok cheung , ada wai-chee fu","a transaction replication scheme for a replicated database with node autonomy ada wai-chee fu , david wai-lok cheung 1994",,,vldb,very large data bases,1994,
web caching for database applications with oracle web cache,paradise : a database system for gis applications corporate the paradise team 1995,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",,sigmod conference,international conference on management of data,2002,
lore : a database management system for semistructured data sigmod record,paradise : a database system for gis applications corporate the paradise team 1995,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",,,international conference on management of data,1997,
"active storage hierarchy , database systems and applications - socratic exegesis joel h. saltz , john burgess , felipe cariño , william o'connell vldb",paradise : a database system for gis applications corporate the paradise team 1995,,,,international conference on management of data,1999,
integrating mining with relational database systems : alternatives and implications,paradise : a database system for gis applications corporate the paradise team 1995,"shiby thomas , rakesh agrawal , sunita sarawagi",,sigmod conference,international conference on management of data,1998,
