ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
the demarcation protocol : a technique for maintaining constraints in distributed database systems,local verification of global integrity constraints in distributed databases,d barbar;h garcia-molina,a gupta;j widom,vldb j.,,1994,1997.6
on-demand data elevation in hierarchical multimedia storage servers,on-demand data elevation in a hierarchical multimedia storage server,p triantafillou;t papadakis,p triantallou;t papadakis,vldb,proc . of 23rd intl. conf . on very large data bases;vldb,1997,1997
database tuning : principles;experiments;and troubleshooting techniques,database tuning : principles;experiments;and troubleshooting techniques ( part i ),d shasha;p bonnet,d shasha;p bonnet,vldb,proceedings of the 2002 acm sigmod international conference & hellip,2002,2002
dna-miner : a system prototype for mining dna sequences,n. stefanovic 1997 Ã¢ ?? geominer : a system prototype for spatial data miningÃ¢ ??,j han;h jamil;y lu;l chen;y liao;j pei,j han;k koperski,sigmod conference,proc . acm-sigmod int . conf . on management of data ( sigmod &#39; 97,2001,1997.6
communication efficient distributed mining of association rules,mining generalized association rules,a schuster;r wolff,r agrawal;r srikant,sigmod conference,proceedings of the 1995 international conference of very & hellip,2001,1997.6
global transaction support for workflow management systems : from formal specification to practical implementation,distributed transaction support for workflow management applications,p grefen;j vonk;p apers,j vonk;p grefen;e boertjes;p apers,vldb j.,procs . 10th int . conf . on database and expert system & hellip,2001,1997.6
the x-tree : an index structure for high-dimensional data,the tv-tree { an index structure for high-dimensional data . the vldb journal;3 ( 4 ) : 517 { 549,s berchtold;d keim;h kriegel,ki lin;hv jagadish;c faloutsos,vldb,,1996,1994
an extensible compressor for xml data,xmill : an efficient compressor for xml data,h liefke;d suciu,l hartmut;d suciu,sigmod record,,2000,1997.6
database systems management and oracle8,the cedar database management system,c doherty,m brownÃ¢ ? Â¦,sigmod conference,proc . 1981 acmsigmod conference on management of data;ann & hellip,1998,1997.6
a critique of ansi sql isolation levels,a critique of ansi sql isolation levels,h berenson;p bernstein;j gray;j melton;e o¡¯neil;p o¡¯neil,h berenson;p bernstein;j gray;j melton,sigmod conference,proceedings of the acm sigmod international conference on & hellip,1995,1995
online association rule mining,mining fuzzy association rules in database,c hidber,mk chan;f ada;hw man,sigmod conference,sigmod record,1999,1997.6
mixed mode xml query processing,a transducer-based xml query processor,a halverson;j burger;l galanis;a kini;r krishnamurthy;a rao;f tian;s viglas;y wang;j naughton;d dewitt, p mukhopadhyay;y papakonstantinou,vldb,vldb,2003,2002
dynamat : a dynamic view management system for data warehouses,dynamat : a dynamic viewmanagement system fordata warehouses,y kotidis;n roussopoulos,ykn roussopoulos,sigmod conference,proc . of the acm sigmod,1999,1997.6
mining generalized association rules,mining association rules from semi-structured data,r srikant;r agrawal,k maruyama;k uehara,vldb,icdcs workshop of knowledge discovery and data mining in the & hellip,1995,2000
fast algorithms for mining association rules in large databases,data mining using two-dimensional optimized association rules for numeric data : scheme;algorithms,r agrawal;r srikant,t fukuda;y morimoto;s morishita;t tokuyama,vldb,proceedings of the acm sigmod international conference on,1994,1997.6
on the issue of valid time ( s ) in temporal databases,temporal databases,s kokkotos;e ioannidis;t panayiotopoulos;c spyropoulos,rt snodgrass,sigmod record,,1995,1997.6
data management issues in electronic commerce ( panel ),special section on data management issues in e-commerce,m Ð¶zsu,a dogac,sigmod conference,acm sigmod record,1999,1997.6
storage and retrieval of xml data using relational databases,storage and retrieval of xml data using relational databases,,s chaudhuri;k shim,,data engineering;2003 . proceedings . 19th international & hellip,2001,2003
banks : browsing and keyword searching in relational databases,distance browsing in spatial databases,b aditya;g bhalotia;s chakrabarti;a hulgeri;c nakhe;p parag;s sudarshan,gr hjaltason;h samet,vldb,acm transactions on database systems,2002,1999
answering queries using views : a survey,a scalable algorithm for answering queries using views,a halevy,ay levy,vldb j.,,2001,1997.6
path sharing and predicate evaluation for high-performance xml filtering,yfilter : path sharing and predicate evaluation for high-performance xmpsll filtering,y diao;m altinel;m franklin;h zhang;p fischer,y diao;m altinel;mj franklin;h zhang;p fischer,acm trans . database syst .,acm transactions on database systems ( tods ),2003,1997.6
tavant system architecture for sell-side channel management,a control system architecture for intelligent systems,s narayanan;s subramanian,j albus,vldb,procs . of the 1987 ieee intl. conf . on systems;man and & hellip,2001,1997.6
mining generalized association rules,a new sql-like operator for mining association rules,r srikant;r agrawal,s ceri;r meo;g psaila,vldb,proc . of the 22nd intÃ¢ ?? l conference on very large data,1995,1997.6
a raster approximation for processing of spatial joins,a raster approximation for processing of spatial joins,g zimbrao;j souza,g zimbrao,vldb,vldb,1998,1998
ariadne : a system for constructing mediators for internet sources,. and sheila tejada . ariadne : a system for constructing mediators for internet sources ( system,j ambite;n ashish;g barish;c knoblock;s minton;p modi;i muslea;a philpot;s tejada,jl ambite;n ashish;g barish,sigmod conference,proc . of a cm sigmod conf . on management of,1998,1997.6
asserting beliefs in mls relational models,learning probabilistic relational models,n jukic;s vrbsky,l getoorÃ¢ ? Â¦,sigmod record,lecture notes in computer science,1997,2000
exploiting main memory dbms features to improve real-time concurrency control protocols,index concurrency control in firm real-time dbms,Ð¶ ulusoy;a buchmann,b goyal;j haritsa;s seshadri;v srinivasan,sigmod record,proceedings of the international conference on very large & hellip,1996,1995
hierarchical compact cube for range-max queries,hierarchical prefix cubes for range-sum queries,s lee;t ling;h li,cy chan;ye ioannidis,vldb,proceedings of the 25th international conference on very & hellip,2000,1999
an efficient algorithm for mining association rules in large databases,parallel algorithm for mining outliers in large database,a savasere;e omiecinski;s navathe,e hung,vldb,,1995,1997.6
