ltable_id,rtable_id,ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year,label
1756,1418,web caching for database applications with oracle web cache,form-based proxy caching for database-backed web sites,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","qiong luo , jeffrey f. naughton",sigmod conference,very large data bases,2002,2001,0
2464,1418,enabling dynamic content caching for database-driven web sites,form-based proxy caching for database-backed web sites,"qiong luo , divyakant agrawal , wen-syan li , wang-pin hsiung , k. selçuk candan","qiong luo , jeffrey f. naughton",sigmod conference,very large data bases,2001,2001,0
648,1418,homer : a model-based case tool for data-intensive web sites,form-based proxy caching for database-backed web sites,"paolo atzeni , paolo merialdo , marco pecorone , marco magnante , giansalvatore mecca","qiong luo , jeffrey f. naughton",sigmod conference,very large data bases,2000,2001,0
2410,1418,a predicate-based caching scheme for client-server database architectures,form-based proxy caching for database-backed web sites,"julie basu , arthur m. keller","qiong luo , jeffrey f. naughton",vldb j.,very large data bases,1996,2001,0
27,1418,form-based proxy caching for database-backed web sites,form-based proxy caching for database-backed web sites,"jeffrey f. naughton , qiong luo","qiong luo , jeffrey f. naughton",vldb,very large data bases,2001,2001,1
2058,1418,caching strategies for data-intensive web sites,form-based proxy caching for database-backed web sites,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu","qiong luo , jeffrey f. naughton",vldb,very large data bases,2000,2001,0
1756,723,web caching for database applications with oracle web cache,middle-tier database caching for e-business,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",sigmod conference,international conference on management of data,2002,2002,0
27,723,form-based proxy caching for database-backed web sites,middle-tier database caching for e-business,"jeffrey f. naughton , qiong luo","qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",vldb,international conference on management of data,2001,2002,0
786,723,dbcache : database caching for web application servers,middle-tier database caching for e-business,"sailesh krishnamurthy , c. mohan , larry brown , hamid pirahesh , mehmet altinel , honguk woo , qiong luo , bruce g. lindsay","qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",sigmod conference,international conference on management of data,2002,2002,0
2206,723,middle-tier database caching for e-business,middle-tier database caching for e-business,"hamid pirahesh , c. mohan , jeffrey f. naughton , sailesh krishnamurthy , honguk woo , qiong luo , bruce g. lindsay","qiong luo , sailesh krishnamurthy , c. mohan , hamid pirahesh , honguk woo , bruce g. lindsay , jeffrey f. naughton",sigmod conference,international conference on management of data,2002,2002,1
1756,1366,web caching for database applications with oracle web cache,building scalable internet applications with oracle8i server,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",sigmod conference,very large data bases,2002,2000,0
2339,1366,building notification services with microsoft sqlserver,building scalable internet applications with oracle8i server,praveen seshadri,"julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",sigmod conference,very large data bases,2003,2000,0
677,1366,building scalable internet applications with oracle8i server,building scalable internet applications with oracle8i server,"olga peschansky , josé alberto fernández , julie basu","julie basu , jos &#233; alberto fern &#225; ndez , olga peschansky",vldb,very large data bases,2000,2000,1
1756,1345,web caching for database applications with oracle web cache,caching technologies for web applications,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",c. mohan,sigmod conference,very large data bases,2002,2001,0
1647,1345,oracle 's symmetric replication technology and implications for application design,caching technologies for web applications,"benny souder , bob jenkins , lip boon doo , peter lim , gordon smith , dean daniels , curtis elsbernd , gary hallmark , alan downing , jim stamos , sandeep jain",c. mohan,sigmod conference,very large data bases,1994,2001,0
2058,1345,caching strategies for data-intensive web sites,caching technologies for web applications,"khaled yagoub , patrick valduriez , valérie issarny , daniela florescu",c. mohan,vldb,very large data bases,2000,2001,0
1756,1484,web caching for database applications with oracle web cache,a transaction replication scheme for a replicated database with node autonomy,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu","ada wai-chee fu , david wai-lok cheung",sigmod conference,very large data bases,2002,1994,0
2072,1484,a transaction replication scheme for a replicated database with node autonomy,a transaction replication scheme for a replicated database with node autonomy,"david wai-lok cheung , ada wai-chee fu","ada wai-chee fu , david wai-lok cheung",vldb,very large data bases,1994,1994,1
1756,1522,web caching for database applications with oracle web cache,paradise : a database system for gis applications,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",corporate the paradise team,sigmod conference,international conference on management of data,2002,1995,0
2224,1522,lore : a database management system for semistructured data,paradise : a database system for gis applications,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",corporate the paradise team,sigmod record,international conference on management of data,1997,1995,0
1669,1522,"active storage hierarchy , database systems and applications - socratic exegesis",paradise : a database system for gis applications,"joel h. saltz , john burgess , felipe cariño , william o'connell",corporate the paradise team,vldb,international conference on management of data,1999,1995,0
