ltable_id,rtable_id,ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released,label
1409,51560,Illusion ( feat . Echosmith ),Transmission [ feat . X Ambassadors ],Zedd,Zedd,True Colors,True Colors,"Dance , Music , Electronic",Dance & Electronic,$ 1.29,$ 1.29,2015 Interscope Records,( C ) 2015 Interscope Records,6:30,4:02,18-May-15,"May 18 , 2015",0
1289,34035,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , Rock , House , Electronic",Dance & Electronic,$ 1.29,$ 0.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,3:34,3:29,26-Aug-11,"August 26 , 2011",0
1314,34035,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),I Can Only Imagine ( feat . Chris Brown & Lil Wayne ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , House , Electronic , Rock",Dance & Electronic,$ 1.29,$ 0.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,3:34,3:29,26-Aug-11,"August 26 , 2011",0
2666,35475,Silver and Gold,Silver And Gold,Little Big Town,Little Big Town,Pain Killer,Pain Killer,"Country , Music , Honky Tonk , Contemporary Country",Country,$ 1.29,$ 1.29,"2014 Little Big Town , LLC Under exclusive license to Capitol Records Nashville",( C ) 2014 Little Big Town LLC Under exclusive license to Capitol Records Nashville,3:33,3:31,21-Oct-14,"October 21 , 2014",1
1157,27989,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$ 1.29,$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,3:20,3:08,24-Nov-14,"November 24 , 2014",0
1164,27989,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],I 'll Keep Loving you ( feat . Birdy & Jaymes Young ),David Guetta,David Guetta,Listen ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music , Rock , House , Electronic , French Pop",Dance & Electronic,$ 1.29,$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .",2015 If Moving Your Mine,3:20,3:08,24-Nov-14,"November 24 , 2014",0
3332,7412,True Colors ( feat . Nicki Minaj ),Still Down ( feat . Chevy Woods & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,$ 1.29,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,4:16,19-Aug-14,"August 19 , 2014",0
1303,34060,I 'm a Machine ( feat . Crystal Nicole and Tyrese Gibson ),In My Head ( feat . Nervo ),David Guetta,David Guetta,Nothing But the Beat,Nothing But the Beat 2.0 [ Explicit ],"Dance , Music , House , Electronic , Rock",Dance & Electronic,$ 1.29,$ 0.99,"2011 What A Music Ltd , Licence exclusive Parlophone Music France",2015 Real Sounds,3:34,3:51,26-Aug-11,"August 26 , 2011",0
1155,9941,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Bloody War ( Album Version ( Edited ) ) [ feat . BG ] [ Clean ],David Guetta,David Banner,Listen ( Deluxe Version ),Certified ( Edited Version ),"Dance , Music , Rock , House , Electronic , French Pop",Rap & Hip-Hop,$ 1.29,$ 0.99,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","( C ) 2014 Island Records , a division of UMG Recordings , Inc.",3:20,4:27,24-Nov-14,"September 20 , 2005",0
1155,31283,Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],Choose Me ( Album Version ( Edited ) ) [ feat . Sky ] [ Clean ],David Guetta,David Banner,Listen ( Deluxe Version ),Mississippi-The Album ( Explicit Version ),"Dance , Music , Rock , House , Electronic , French Pop",Pop,$ 1.29,$ 0.99,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved .","( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",3:20,4:24,24-Nov-14,"May 20 , 2003",0
4733,43755,Lick It ( Norman Doray Remix ),Take ÌÏ There ( feat . Kiesza ) [ Netsky Remix ],Kaskade & Skrillex,Skrillex & Diplo,Lick It ( Remixes ) - EP,Take ÌÏ There ( feat . Kiesza ) [ Remixes ],"Dance , Music , Electronic",Dance & Electronic,$ 1.29,$ 1.29,"2012 Ultra Records , Inc.",2010 Robbins Entertainment LLC,6:14,3:29,17-Apr-12,"December 23 , 2014",0
4733,31618,Lick It ( Norman Doray Remix ),Scary Monsters And Nice Sprites ( Phonat Remix ),Kaskade & Skrillex,Skrillex,Lick It ( Remixes ) - EP,More Monsters And Sprites EP,"Dance , Music , Electronic","Dance & Electronic , Dubstep",$ 1.29,$ 1.29,"2012 Ultra Records , Inc.",2011 Rory Bourke Music Co. ( BMI ),6:14,3:39,17-Apr-12,"June 7 , 2011",0
3949,38669,Whatcha Say ( Klubjumpers Remix Radio ),The Sky 's The Limit ( Ayo Remix ),Jason Derulo,Jason Derulo,Reloaded,Reloaded,"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",Pop,$ 1.29,$ 1.29,2011 This Compilation P2011 Warner Bros. . Records Inc.,"( C ) 2006 DTP Records , LLC",4:02,3:25,16-Dec-11,"December 16 , 2011",0
2477,1222,Because of Your Love,"Ruby , Do n't Take Your Love To Town",Kenny Chesney,Kenny Rogers,Greatest Hits,49 All Time Greatest Hits,"Country , Music , Contemporary Country , Urban Cowboy","Country , Traditional Country , Cowboy",$ 0.99,$ 0.89,2000 BMG Entertainment,( c ) 2008 Goldenlane Records,4:16,2:55,26-Sep-00,"August 1 , 2008",0
4056,40142,Where Are '`` Now ( with Justin Bieber ) [ Ember Island Remix ],Scary Monsters And Nice Sprites ( Zedd Remix ),Skrillex & Diplo,Skrillex,Where Are '`` Now ( with Justin Bieber ) [ Remixes ] - EP,Scary Monsters And Nice Sprites EP [ Explicit ],"Dance , Music","Electronica , Dance & Electronic , Dubstep",$ 1.29,$ 1.29,2015 OWSLA / Mad Decent / Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,( c ) 2013 Digitop Ltd,2:31,5:57,16-Jun-15,"December 21 , 2010",0
1551,41574,Second Chance ( Live Acoustic from Kansas City ),Burning Bright ( Live From Washington State ),Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$ 1.29,$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,5:06,3:53,18-Apr-11,"April 18 , 2011",0
2020,28191,If I Am a Stranger ( Live In Amsterdam ),Dear Chicago ( Live in Stockholm ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$ 0.99,$ 0.99,2012 PAXAM RECORDS,2012 PAXAM RECORDS,5:10,2:29,2-Jul-12,"July 2 , 2012",0
2020,28341,If I Am a Stranger ( Live In Amsterdam ),Carolina Rain ( Live in Cork ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Cork ),"Singer/Songwriter , Music , Rock","Folk , Rock",$ 0.99,$ 0.99,2012 PAXAM RECORDS,2012 PAXAM RECORDS,5:10,5:41,2-Jul-12,"August 9 , 2012",0
2020,28308,If I Am a Stranger ( Live In Amsterdam ),16 Days ( Live in Glasgow ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$ 0.99,$ 0.99,2012 PAXAM RECORDS,2012 PAXAM RECORDS,5:10,4:31,2-Jul-12,"July 2 , 2012",0
1405,55640,Autonomy ( Cold Blank Mix ),Autonomy ( Lucky Date Mix ),Zedd,Zedd,Autonomy - EP,Zedd - Autonomy,"Dance , Music","Electronica , Dance & Electronic",$ 0.99,$ 0.99,2011 Bugeyed Records,( C ) 2014 Wolf Tone Limited,4:59,5:59,28-Mar-11,"March 28 , 2011",0
380,33288,Closer ( feat . Mike Posner ),Numb [ feat . Angel Haze ] [ Clean ],Nick Jonas,Nick Jonas,Nick Jonas ( Deluxe Version ),Nick Jonas ( Deluxe ) [ Clean ],"Pop , Music , Teen Pop , Pop/Rock , Rock",Pop,$ 1.29,$ 1.29,"2014 Island Records , a division of UMG Recordings , Inc. / Safehouse Records , LLC","( C ) 2014 Island Records/Safehouse Records LLC , a division of UMG Recordings , Inc.",3:48,3:57,10-Nov-14,"November 10 , 2014",0
1545,41588,Second Chance ( Live Acoustic from Kansas City ),45 ( Live Acoustic From Kansas City ),Shinedown,Shinedown,Somewhere In the Stratosphere ( Live ),Somewhere In The Stratosphere,"Rock , Music , Metal , Alternative , Hard Rock",Rock,$ 1.29,$ 1.29,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States .,( C ) 2005 MCA Nashville,5:06,6:12,18-Apr-11,"April 18 , 2011",0
4236,27814,Starry Eyed ( AN21 and Max Vangeli Remix ),Lights ( Shook Remix ),Ellie Goulding,Ellie Goulding,Starry Eyed ( Remixes ) - EP,Lights ( The Remixes Part 1 ),"Dance , Music , Pop , Rock",Pop,$ 1.29,$ 1.29,2011 Polydor Ltd. ( UK ),( C ) 2011 Polydor Ltd. ( UK ),8:14,3:49,15-Feb-11,"May 23 , 2011",0
4734,31604,Lick It ( Norman Doray Remix ),Scary Monsters And Nice Sprites ( Phonat Remix ),Kaskade & Skrillex,Skrillex,Lick It ( Remixes ) - EP,More Monsters And Sprites EP,"Dance , Music , Electronic","Dance & Electronic , Dubstep",$ 1.29,$ 1.29,"2012 Ultra Records , Inc.",2011 Rory Bourke Music Co. ( BMI ),6:14,3:39,17-Apr-12,"June 7 , 2011",0
1236,50715,Titanium ( Spanish Version ),Titanium ( feat . Sia ) [ Cazzette 's Ant Seeking Hamster Mix ],David Guetta,David Guetta,Titanium ( Spanish Version ) - Single,Titanium ( Feat . Sia ),"Dance , Music , Electronic",Dance & Electronic,$ 1.29,$ 0.99,"2012 What A Music Ltd , Licence exclusive Parlophone Music France","2011 What A Music Ltd , licence exclusive Parlophone Music France",3:58,6:37,20-Aug-12,"January 20 , 2012",0
4823,20588,Halcyon,Halcyon,Ellie Goulding,Ellie Goulding,Halcyon Days ( Deluxe Edition ),Halcyon,"Pop , Music , Dance , Rock",Pop,$ 1.29,$ 1.29,‰ ãÑ 2013 Polydor Ltd. ( UK ),( C ) 2013 Polydor Ltd. ( UK ),3:24,3:24,27-Aug-13,"August 27 , 2013",1
1168,34894,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ),David Guetta,David Guetta,One Love ( Deluxe Version ),One Love ( Deluxe Version ),"Dance , Music",Dance & Electronic,$ 1.29,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,2:51,3:31,21-Aug-09,"August 21 , 2009",0
1262,34894,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Gettin ' Over ( Feat . Chris Willis ; Continuous Mix Version ),David Guetta,David Guetta,One Love ( Deluxe Version ),One Love ( Deluxe Version ),"Dance , Music",Dance & Electronic,$ 1.29,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,2:51,3:31,21-Aug-09,"August 21 , 2009",0
1202,28013,The Whisperer ( feat . Sia ),Dangerous ( feat . Sam Martin ),David Guetta,David Guetta,Listen,Listen ( Deluxe ),"Dance , Music , Electronic , House , Rock , French Pop",Dance & Electronic,$ 1.29,$ 1.29,"2014 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States . All rights reserved",2015 If Moving Your Mine,3:54,3:23,24-Nov-14,"November 24 , 2014",0
1275,28013,Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Dangerous ( feat . Sam Martin ),David Guetta,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",Dance & Electronic,$ 1.29,$ 1.29,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,2:51,3:23,21-Aug-09,"November 24 , 2014",0
210,19800,Slow Down ( Sure Shot Rockers Reggae Dub Remix ),Good For You ( Yellow Claw & Cesqeaux Remix ) [ feat . A$ AP Rocky ],Selena Gomez,Selena Gomez,Slow Down ( Reggae Remixes ) - Single,Good For You ( Remixes ),"Reggae , Music , Electronic , Dance , Rock",Pop,$ 1.29,$ 1.29,"2013 Hollywood Records , Inc.",( C ) 2015 Interscope Records,3:15,3:01,20-Aug-13,"September 4 , 2015",0
3376,7414,True Colors ( feat . Nicki Minaj ),True Colors ( feat . Nicki Minaj ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,$ 1.29,$ 1.29,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,4:15,4:15,19-Aug-14,"August 19 , 2014",1
